commit	dice	memory_gb	status	description	command
05e9ef3	0.788569	0.0	discard	sphere k-anneal k_final100 (too low)	uv run python scripts/run_pipeline.py --stages train --iters 5000 --max-steps 128 --stock-size-in 1 1 1 --voxel-size-mm 0.5 --target-shape sphere --target-radius-mm 11.43 --post haas --dt 0.45 --learning-rate 1e-3 --grad-clip 0.5 --eval-freq 10 --k-anneal --k-init 10 --k-final 100
05e9ef3	0.825076	0.0	keep	sphere k-anneal k_final120	uv run python scripts/run_pipeline.py --stages train --iters 5000 --max-steps 128 --stock-size-in 1 1 1 --voxel-size-mm 0.5 --target-shape sphere --target-radius-mm 11.43 --post haas --dt 0.45 --learning-rate 1e-3 --grad-clip 0.5 --eval-freq 10 --k-anneal --k-init 10 --k-final 120
05e9ef3	0.827041	0.0	keep	sphere k-anneal k_final180	uv run python scripts/run_pipeline.py --stages train --iters 5000 --max-steps 128 --stock-size-in 1 1 1 --voxel-size-mm 0.5 --target-shape sphere --target-radius-mm 11.43 --post haas --dt 0.45 --learning-rate 1e-3 --grad-clip 0.5 --eval-freq 10 --k-anneal --k-init 10 --k-final 180
05e9ef3	0.825986	0.0	keep	sphere k-anneal k_final200	uv run python scripts/run_pipeline.py --stages train --iters 5000 --max-steps 128 --stock-size-in 1 1 1 --voxel-size-mm 0.5 --target-shape sphere --target-radius-mm 11.43 --post haas --dt 0.45 --learning-rate 1e-3 --grad-clip 0.5 --eval-freq 10 --k-anneal --k-init 10 --k-final 200
05e9ef3	0.813880	0.0	keep	sphere k-anneal k150 seed2 (k150 mean 0.814)	uv run python scripts/run_pipeline.py --stages train --iters 5000 --max-steps 128 --stock-size-in 1 1 1 --voxel-size-mm 0.5 --target-shape sphere --target-radius-mm 11.43 --post haas --dt 0.45 --learning-rate 1e-3 --grad-clip 0.5 --eval-freq 10 --k-anneal --k-init 10 --k-final 150 --seed 2
05e9ef3	0.799139	0.0	keep	sphere k-anneal k150 seed3 (k150 mean 0.814)	uv run python scripts/run_pipeline.py --stages train --iters 5000 --max-steps 128 --stock-size-in 1 1 1 --voxel-size-mm 0.5 --target-shape sphere --target-radius-mm 11.43 --post haas --dt 0.45 --learning-rate 1e-3 --grad-clip 0.5 --eval-freq 10 --k-anneal --k-init 10 --k-final 150 --seed 3
05e9ef3	0.830206	0.0	keep	sphere k-anneal k_init40 k_final150 (more high-k iters; ~same as k_init10)	uv run python scripts/run_pipeline.py --stages train --iters 5000 --max-steps 128 --stock-size-in 1 1 1 --voxel-size-mm 0.5 --target-shape sphere --target-radius-mm 11.43 --post haas --dt 0.45 --learning-rate 1e-3 --grad-clip 0.5 --eval-freq 10 --k-anneal --k-init 40 --k-final 150
1f53f3d	0.579000	0.0	keep	sphere baseline k=10 VIZ deployable dice (post-trunc 40/128) — reference viz=0.579	uv run python scripts/run_pipeline.py --stages train --iters 5000 --max-steps 128 --stock-size-in 1 1 1 --voxel-size-mm 0.5 --target-shape sphere --target-radius-mm 11.43 --post haas --dt 0.45 --learning-rate 1e-3 --grad-clip 0.5 --eval-freq 10
1f53f3d	0.648000	0.0	keep	sphere k150 VIZ deployable dice (post-trunc 40/128; train was 0.830; viz +0.069 vs baseline)	uv run python scripts/run_pipeline.py --stages train,trunc,eval,export,viz --iters 5000 --max-steps 128 --stock-size-in 1 1 1 --voxel-size-mm 0.5 --target-shape sphere --target-radius-mm 11.43 --post haas --dt 0.45 --learning-rate 1e-3 --grad-clip 0.5 --eval-freq 10 --k-anneal --k-init 10 --k-final 150
1f53f3d	0.816325	0.0	keep	box k=10 baseline (train 0.816 viz 0.816 crash-safe)	uv run python scripts/run_pipeline.py --stages train,trunc,eval,export,viz --iters 5000 --max-steps 128 --stock-size-in 1 1 1 --voxel-size-mm 0.5 --target-shape box --target-radius-mm 11.43 --post haas --dt 0.45 --learning-rate 1e-3 --grad-clip 0.5 --eval-freq 10
1f53f3d	0.842825	0.0	keep	box k150 (train 0.843 viz 0.843 crash-safe; +0.027 viz)	uv run python scripts/run_pipeline.py --stages train,trunc,eval,export,viz --iters 5000 --max-steps 128 --stock-size-in 1 1 1 --voxel-size-mm 0.5 --target-shape box --target-radius-mm 11.43 --post haas --dt 0.45 --learning-rate 1e-3 --grad-clip 0.5 --eval-freq 10 --k-anneal --k-init 10 --k-final 150
1f53f3d	0.425298	0.0	keep	pyramid k=10 baseline (train 0.425 viz 0.425)	uv run python scripts/run_pipeline.py --stages train,trunc,eval,export,viz --iters 5000 --max-steps 128 --stock-size-in 1 1 1 --voxel-size-mm 0.5 --target-shape pyramid --target-radius-mm 11.43 --target-height-mm 22.86 --post haas --dt 0.45 --learning-rate 1e-3 --grad-clip 0.5 --eval-freq 10
1f53f3d	0.450670	0.0	keep	pyramid k150 (train 0.799 viz 0.451; train +0.374 but viz +0.026 only — truncation)	uv run python scripts/run_pipeline.py --stages train,trunc,eval,export,viz --iters 5000 --max-steps 128 --stock-size-in 1 1 1 --voxel-size-mm 0.5 --target-shape pyramid --target-radius-mm 11.43 --target-height-mm 22.86 --post haas --dt 0.45 --learning-rate 1e-3 --grad-clip 0.5 --eval-freq 10 --k-anneal --k-init 10 --k-final 150
1f53f3d	0.717460	0.0	keep	cylinder k=10 baseline (train 0.802 viz 0.717)	uv run python scripts/run_pipeline.py --stages train,trunc,eval,export,viz --iters 5000 --max-steps 128 --stock-size-in 1 1 1 --voxel-size-mm 0.5 --target-shape cylinder --target-radius-mm 11.43 --target-height-mm 22.86 --post haas --dt 0.45 --learning-rate 1e-3 --grad-clip 0.5 --eval-freq 10
1f53f3d	0.793120	0.0	keep	cylinder k150 (train 0.895 viz 0.793; viz +0.076)	uv run python scripts/run_pipeline.py --stages train,trunc,eval,export,viz --iters 5000 --max-steps 128 --stock-size-in 1 1 1 --voxel-size-mm 0.5 --target-shape cylinder --target-radius-mm 11.43 --target-height-mm 22.86 --post haas --dt 0.45 --learning-rate 1e-3 --grad-clip 0.5 --eval-freq 10 --k-anneal --k-init 10 --k-final 150
1f53f3d	0.649280	0.0	discard	sphere k150 holder-penalty-weight 500 (viz 0.649 = k150; penalty doesnt enforce crash-safety)	uv run python scripts/run_pipeline.py --stages train,trunc,eval,export,viz --iters 5000 --max-steps 128 --stock-size-in 1 1 1 --voxel-size-mm 0.5 --target-shape sphere --target-radius-mm 11.43 --post haas --dt 0.45 --learning-rate 1e-3 --grad-clip 0.5 --eval-freq 10 --k-anneal --k-init 10 --k-final 150 --holder-penalty-weight 500.0
